plot,lat,long,,,,,,,,,,
1,37.40900978,-122.2394924,,,,,,,,,,
2,37.40211064,-122.2114785,,,,,,,,,,
3,37.41009105,-122.2302496,,,,,,,,,,
4,37.40647858,-122.2331706,,,,,,,,,,
5,37.40998438,-122.224864,,,,,,,,,,
6,37.39664701,-122.2294264,,,,,,,,,,
7,37.39577571,-122.2266739,,,,,,,,,,
9,37.4020359,-122.2172121,,,,,,,,,,
10,37.39921323,-122.2245356,,,,,,,,,,
11,37.39686139,-122.222907,,,,,,,,,,
12,37.40527859,-122.2274982,,,,,,,,,,
13,37.40347727,-122.2277841,,,,,,,,,,
14,37.39778275,-122.2308176,,,,,,,,,,
15,37.4001382,-122.234954,,,,,,,,,,
16,37.39782014,-122.2324217,,,,,,,,,,
17,37.40512554,-122.2221336,,,,,,,,,,
18,37.40570585,-122.2368071,,,,,,,,,,
19,37.40019502,-122.2337561,,,,,,,,,,
20,37.40946423,-122.2390846,,,,,,,,,,
21,37.39887989,-122.2366089,,,,,,,,,,
22,37.39914802,-122.2404682,,,,,,,,,,
23,37.40728438,-122.2276066,,,,,,,,,,
24,37.39839141,-122.236114,,,,,,,,,,
25,37.39967528,-122.2390989,,,,,,,,,,
26,37.40942359,-122.2307725,,,,,,,,,,
27,37.4033178,-122.2266004,,,,,,,,,,
28,37.39734455,-122.233046,,,,,,,,,,
30,37.39933762,-122.2238086,,,,,,,,,,
31,37.39542953,-122.2326248,,,,,,,,,,
34,37.39942412,-122.2339937,,,,,,,,,,
35,37.40457603,-122.2293667,,,,,,,,,,
37,37.39843521,-122.223017,,,,,,,,,,
38,37.39429954,-122.2316339,,,,,,,,,,
39,37.40373563,-122.2330871,,,,,,,,,,
40,37.40902385,-122.2431492,,,,,,,,,,
41,37.40092541,-122.2152106,,,,,,,,,,
42,37.40631658,-122.2441333,,,,,,,,,,
43,37.40687027,-122.2228735,,,,,,,,,,
45,37.4097255,-122.238668,,,,,,,,,,
46,37.40928161,-122.2290927,,,,,,,,,,
47,37.41091436,-122.2279551,,,,,,,,,,
48,37.40162597,-122.2353339,,,,,,,,,,
49,37.40158791,-122.2310126,,,,,,,,,,
50,37.40927152,-122.2379791,,,,,,,,,,